Path,Transcript,Intended Words,Produced Words,IPA,Error Category,Error Labels,IPA_Transcript,Child
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_ngram_segment_4.wav,Pat tapped tapped,tapped,,,Correct,[],pæt tæpt tæpt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_ngram_segment_5.wav,tapped tapped the,the,,,Correct,[],tæpt tæpt ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_ngram_segment_6.wav,tapped the pe:n,pan,pe:n,pɛ:n,Mixed Error+Orthographic Sub.+Phonological+Disfluency Error,"['Phonological', 'Vowel Substitution', 'Prolongation']",tæpt ðɪ pɛ:n,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_ngram_segment_1.wav,The,The,,,Correct,[],ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_ngram_segment_2.wav,The pan,pan,,,Correct,[],ðɪ pæn,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_ngram_segment_3.wav,The pan slib|d,slid,slib|d,slɪb|d,Mixed Error+Disfluency Error+Phonological+Orthographic Sub.,"['Broken Word', 'Consonant Substitution', 'Letter Reversal', 'Repair']",ðɪ pæn slɪb|d,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798235_ngram_segment_4.wav,pan slib|d slid,slid,,,Correct,[],pæn slɪb|d slɪd,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_ngram_segment_1.wav,pæ:t,Pat,,pæ:t,Disfluency Error,['Prolongation'],pæ:t,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_ngram_segment_2.wav,pæ:t g:,grinned,g:,g:,Mixed Error+Disfluency Error+Phonological,"['Parent Correction', 'Prolongation', 'Consonant Omission', 'Vowel Omission']",pæ:t g:,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_ngram_segment_3.wav,pæ:t g: grinned,grinned,,,Disfluency Error,['Parental Aid'],pæ:t g: gɹɪnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_ngram_segment_4.wav,g: grinned ɡwɪnd,grinned,,ɡwɪnd,Phonological Error,['Consonant Substitution'],g: gɹɪnd ɡwɪnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_ngram_segment_1.wav,Zade,Zade,,,Correct,[],zeɪd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_ngram_segment_2.wav,Zade loved,loved,,,Correct,[],zeɪd lʌvd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_ngram_segment_3.wav,Zade loved playing,playing,,,Correct,[],zeɪd lʌvd pleɪɪŋ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_ngram_segment_4.wav,loved playing bæskbɔl,basketball,,bæskbɔl,Phonological Error,"['Consonant Omission', 'Vowel Omission']",lʌvd pleɪɪŋ bæskbɔl,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_1.wav,Each,Each,,,Correct,[],itʃ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_2.wav,Each day,day,,,Correct,[],itʃ deɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_3.wav,Each day he,he,,,Correct,[],itʃ deɪ hʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_4.wav,day he would,would,,,Correct,[],deɪ hʌ ʌd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_5.wav,he would wear,wear,,,Correct,[],hʌ ʌd wɪʌɹ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_6.wav,would wear his,his,,,Correct,[],ʌd wɪʌɹ hɪz,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_7.wav,wear his gear,gear,,,Correct,[],wɪʌɹ hɪz gɪər,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_8.wav,his gear and,and,,,Correct,[],hɪz gɪər ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_9.wav,gear and head,head,,,Correct,[],gɪər ʌnd hɛd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_10.wav,and head to,to,,,Correct,[],ʌnd hɛd toʊ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_11.wav,head to the,the,,,Correct,[],hɛd toʊ ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_12.wav,to the court,court,,,Correct,[],toʊ ðɪ kɔɹt,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_13.wav,the court near,near,,,Correct,[],ðɪ kɔɹt nɪər,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_14.wav,court near his,his,,,Correct,[],kɔɹt nɪər hɪz,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_ngram_segment_15.wav,near his home,home,,,Correct,[],nɪər hɪz hoʊm,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_1.wav,The,The,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_2.wav,The air,air,,,Correct,[],ðɪ ɛɹ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_3.wav,The air was,was,,,Correct,[],ðɪ ɛɹ wʌz,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_4.wav,air was f.fɹɛʃ,fresh,,f.fɹɛʃ,Disfluency Error,['Stutter'],ɛɹ wʌz f.fɹɛʃ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_5.wav,was f.fɹɛʃ and,and,,,Correct,[],wʌz f.fɹɛʃ ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_6.wav,f.fɹɛʃ and Zade,Zade,,,Correct,[],f.fɹɛʃ ʌnd zeɪd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_7.wav,and Zade felt,felt,,,Correct,[],ʌnd zeɪd fɛlt,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_ngram_segment_8.wav,Zade felt eager,eager,,,Correct,[],zeɪd fɛlt ɪgʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_1.wav,on,One,on,ɑn,Mixed Error+Orthographic Sub.+Phonological,"['Phonological', 'Consonant Omission', 'Vowel Substitution']",ɑn,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_2.wav,on sunny,sunny,,,Correct,[],ɑn sʌni,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_3.wav,on sunny day,day,,,Correct,[],ɑn sʌni deɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_4.wav,sunny day he,he,,,Correct,[],sʌni deɪ hʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_5.wav,day he was,was,,,Correct,[],deɪ hʌ wʌz,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_6.wav,he was əm,,,əm,Disfluency Error,['Interjection'],hʌ wʌz əm,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_7.wav,was əm determinated,determined,determinated,dɪtɜɹmɪnetɪd,Mixed Error+Phonological,"['Vowel Insertion', 'Consonant Insertion']",wʌz əm dɪtɜɹmɪnetɪd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_8.wav,əm determinated to,to,,,Correct,[],əm dɪtɜɹmɪnetɪd toʊ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_9.wav,determinated to perfect,perfect,,,Correct,[],dɪtɜɹmɪnetɪd toʊ pərfɛkt,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_10.wav,to perfect his,his,,,Correct,[],toʊ pərfɛkt hɪz,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_11.wav,perfect his jump,jump,,,Correct,[],pərfɛkt hɪz dʒʌmp,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_ngram_segment_12.wav,his jump shot,shot,,,Correct,[],hɪz dʒʌmp ʃɑt,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_1.wav,He,He,,,Correct,[],hʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_2.wav,He took,took,,,Correct,[],hʌ tʊk,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_3.wav,He took a,a,,,Correct,[],hʌ tʊk ʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_4.wav,took a deep,deep,,,Correct,[],tʊk ʌ dip,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_5.wav,a deep breath,breath,,,Correct,[],ʌ dip bɹɛθ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_6.wav,deep breath focused,focused,,,Correct,[],dip bɹɛθ foʊkʌst,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_7.wav,breath focused and,and,,,Correct,[],bɹɛθ foʊkʌst ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_8.wav,focused and leaped,leapt,leaped,lipt,Mixed Error+Orthographic Sub.+Phonological,"['Phonological', 'Vowel Substitution']",foʊkʌst ʌnd lipt,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_9.wav,and leaped into,into,,,Correct,[],ʌnd lipt ɪntu,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_10.wav,leaped into the,the,,,Correct,[],lipt ɪntu ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_ngram_segment_11.wav,into the air,air,,,Correct,[],ɪntu ðɪ ɛɹ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_ngram_segment_1.wav,The,The,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_ngram_segment_2.wav,The ball,ball,,,Correct,[],ðɪ bɑl,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_ngram_segment_3.wav,The ball scored,soared,scored,skɔɹd,Mixed Error+Orthographic Sub.+Phonological+Disfluency Error,"['Phonological', 'Consonant Insertion', 'Repair']",ðɪ bɑl skɔɹd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_ngram_segment_4.wav,ball scored soared,soared,,,Correct,[],bɑl skɔɹd sɔɹd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_ngram_segment_5.wav,scored soared and,and,,,Correct,[],skɔɹd sɔɹd ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2
processed_audio/annotated_word_segments_ngram/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_ngram_segment_6.wav,soared and went,went,,,Correct,[],sɔɹd ʌnd wɛnt,ukKF4sCANzgmD16fyjMyO7VwR2A2
